"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2635","Verify user can fill out delivery details","Microsoft Edge","Wed Feb 19 08:30:08 UTC 2025","passed","Wed Feb 19 08:30:11 UTC 2025","Checkout page","ui/checkout.spec.ts","",""
"","6909","Verify art can be removed from basket","Mobile Safari","Wed Feb 19 08:29:41 UTC 2025","passed","Wed Feb 19 08:29:48 UTC 2025","Arts page","ui/arts.spec.ts","",""
"","2162","Verify arts can be removed from basket","Microsoft Edge","Wed Feb 19 08:30:07 UTC 2025","passed","Wed Feb 19 08:30:09 UTC 2025","Checkout page","ui/basket.spec.ts","",""
"","2241","Verify admin login via BE with mocked request","Mobile Safari","Wed Feb 19 08:30:01 UTC 2025","passed","Wed Feb 19 08:30:04 UTC 2025","My account page","ui/my_account.spec.ts","",""
"","641","Verify art can be added to basket","Mobile Chrome","Wed Feb 19 08:29:30 UTC 2025","passed","Wed Feb 19 08:29:30 UTC 2025","Arts page","ui/arts.spec.ts","",""
"","570","Verify art can be removed from basket","Google Chrome","Wed Feb 19 08:30:21 UTC 2025","passed","Wed Feb 19 08:30:22 UTC 2025","Arts page","ui/arts.spec.ts","",""
"","2218","Verify user can fill out delivery details","Google Chrome","Wed Feb 19 08:30:23 UTC 2025","passed","Wed Feb 19 08:30:25 UTC 2025","Checkout page","ui/checkout.spec.ts","",""
"","3730","Verify new user can be registered via BE","Microsoft Edge","Wed Feb 19 08:30:16 UTC 2025","passed","Wed Feb 19 08:30:19 UTC 2025","Sign up page","ui/register.user.spec.ts","",""
"","440","Verify art can be added to basket","Google Chrome","Wed Feb 19 08:30:22 UTC 2025","passed","Wed Feb 19 08:30:22 UTC 2025","Arts page","ui/arts.spec.ts","",""
"","1935","Verify admin login via BE with mocked request","Microsoft Edge","Wed Feb 19 08:30:14 UTC 2025","passed","Wed Feb 19 08:30:16 UTC 2025","My account page","ui/my_account.spec.ts","",""
"","350","Verify arts can be sorted","Google Chrome","Wed Feb 19 08:30:24 UTC 2025","passed","Wed Feb 19 08:30:24 UTC 2025","Arts page","ui/arts.spec.ts","",""
"","3654","Verify admin login via BE","Microsoft Edge","Wed Feb 19 08:30:12 UTC 2025","passed","Wed Feb 19 08:30:16 UTC 2025","My account page","ui/my_account.spec.ts","",""
"","2790","Verify new user can be registered via UI","Mobile Safari","Wed Feb 19 08:30:02 UTC 2025","passed","Wed Feb 19 08:30:05 UTC 2025","Sign up page","ui/register.user.spec.ts","",""
"","10389","Verify user can input credit card details and finish buying process","Mobile Safari","Wed Feb 19 08:29:53 UTC 2025","passed","Wed Feb 19 08:30:03 UTC 2025","Checkout page","ui/checkout.spec.ts","",""
"","7463","Verify user can fill out delivery details","Mobile Safari","Wed Feb 19 08:29:45 UTC 2025","passed","Wed Feb 19 08:29:53 UTC 2025","Checkout page","ui/checkout.spec.ts","",""
"","2338","Verify arts can be removed from basket","Mobile Chrome","Wed Feb 19 08:29:30 UTC 2025","passed","Wed Feb 19 08:29:33 UTC 2025","Checkout page","ui/basket.spec.ts","",""
"","4028","Verify user can save delivery details address","Microsoft Edge","Wed Feb 19 08:30:08 UTC 2025","passed","Wed Feb 19 08:30:12 UTC 2025","Checkout page","ui/checkout.spec.ts","",""
"","3910","Verify user can save delivery details address","Google Chrome","Wed Feb 19 08:30:24 UTC 2025","passed","Wed Feb 19 08:30:28 UTC 2025","Checkout page","ui/checkout.spec.ts","",""
"","1717","Verify arts can be removed from basket","Google Chrome","Wed Feb 19 08:30:22 UTC 2025","passed","Wed Feb 19 08:30:24 UTC 2025","Checkout page","ui/basket.spec.ts","",""
